Campaign,Ad Group,Keyword,Criterion Type,Max CPC,Final URL,Campaign Status,Ad Group Status,Status,Comment
SZ_Search_BayArea_ULTRA3000_Broad,Geo Cupertino Repair,sub zero appliance water leak in cupertino,Broad,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Geo Cupertino Repair | Broad
SZ_Search_BayArea_ULTRA3000_Broad,Geo Fremont Repair,sub zero appliance water leak in fremont,Broad,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Geo Fremont Repair | Broad
SZ_Search_BayArea_ULTRA3000_Broad,Geo Hayward Repair,sub zero appliance water leak in hayward,Broad,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Geo Hayward Repair | Broad
SZ_Search_BayArea_ULTRA3000_Broad,Geo MountainView Repair,sub zero appliance water leak in mountain view,Broad,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Geo MountainView Repair | Broad
SZ_Search_BayArea_ULTRA3000_Broad,Geo Oakland Repair,sub zero appliance water leak in oakland,Broad,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Geo Oakland Repair | Broad
SZ_Search_BayArea_ULTRA3000_Broad,Geo PaloAlto Repair,sub zero appliance water leak in palo alto,Broad,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Geo PaloAlto Repair | Broad
SZ_Search_BayArea_ULTRA3000_Broad,Geo Pleasanton Repair,sub zero appliance water leak in pleasanton,Broad,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Geo Pleasanton Repair | Broad
SZ_Search_BayArea_ULTRA3000_Broad,Geo RedwoodCity Repair,sub zero appliance water leak in redwood city,Broad,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Geo RedwoodCity Repair | Broad
SZ_Search_BayArea_ULTRA3000_Broad,Geo SanFrancisco Repair,sub zero appliance water leak in san francisco,Broad,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Geo SanFrancisco Repair | Broad
SZ_Search_BayArea_ULTRA3000_Broad,Geo SanJose Repair,sub zero appliance water leak in san jose,Broad,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Geo SanJose Repair | Broad
SZ_Search_BayArea_ULTRA3000_Broad,Geo SanLeandro Repair,sub zero appliance water leak in san leandro,Broad,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Geo SanLeandro Repair | Broad
SZ_Search_BayArea_ULTRA3000_Broad,Geo SanMateo Repair,sub zero appliance water leak in san mateo,Broad,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Geo SanMateo Repair | Broad
SZ_Search_BayArea_ULTRA3000_Broad,Geo SantaClara Repair,sub zero appliance water leak in santa clara,Broad,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Geo SantaClara Repair | Broad
SZ_Search_BayArea_ULTRA3000_Broad,Geo Sunnyvale Repair,sub zero appliance water leak in sunnyvale,Broad,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Geo Sunnyvale Repair | Broad
SZ_Search_BayArea_ULTRA3000_Broad,Geo UnionCity Repair,sub zero appliance water leak in union city,Broad,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Geo UnionCity Repair | Broad
SZ_Search_BayArea_ULTRA3000_Broad,Geo WalnutCreek Repair,sub zero appliance water leak in walnut creek,Broad,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Geo WalnutCreek Repair | Broad
SZ_Search_BayArea_ULTRA3000_Broad,Noise Fan Compressor,sub zero compressor issue,Broad,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Noise Fan Compressor | Broad
