Campaign,Ad Group,Keyword,Criterion Type,Max CPC,Final URL,Campaign Status,Ad Group Status,Status,Comment
SZ_Search_BayArea_ExactPhrase_2026,Not Cooling Issues,sub zero refrigerator not cold enough,Phrase,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Not Cooling Issues | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Not Cooling Issues,sub zero refrigerator not cold but freezer is,Exact,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Not Cooling Issues | Exact
SZ_Search_BayArea_ExactPhrase_2026,Not Cooling Issues,sub zero refrigerator not cold but freezer is,Phrase,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Not Cooling Issues | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Not Cooling Issues,sub zero refrigerator not cold freezer working,Exact,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Not Cooling Issues | Exact
SZ_Search_BayArea_ExactPhrase_2026,Not Cooling Issues,sub zero refrigerator not cold freezer working,Phrase,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Not Cooling Issues | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Not Cooling Issues,sub zero refrigerator not getting cold enough,Exact,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Not Cooling Issues | Exact
SZ_Search_BayArea_ExactPhrase_2026,Not Cooling Issues,sub zero refrigerator not getting cold enough,Phrase,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Not Cooling Issues | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Not Cooling Issues,new sub zero refrigerator not getting cold,Exact,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Not Cooling Issues | Exact
SZ_Search_BayArea_ExactPhrase_2026,Not Cooling Issues,new sub zero refrigerator not getting cold,Phrase,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Not Cooling Issues | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Not Cooling Issues,sub zero refrigerator not getting cold,Exact,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Not Cooling Issues | Exact
SZ_Search_BayArea_ExactPhrase_2026,Not Cooling Issues,sub zero refrigerator not getting cold,Phrase,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Not Cooling Issues | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Not Cooling Issues,sub zero refrigerator is not getting cold,Exact,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Not Cooling Issues | Exact
SZ_Search_BayArea_ExactPhrase_2026,Not Cooling Issues,sub zero refrigerator is not getting cold,Phrase,42.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Not Cooling Issues | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Not Working Issues,sub zero refrigerator stopped working,Exact,38.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Not Working Issues | Exact
SZ_Search_BayArea_ExactPhrase_2026,Not Working Issues,sub zero refrigerator stopped working,Phrase,38.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Not Working Issues | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Door Seal Repair,sub zero refrigerator door gasket repair,Exact,36.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Door Seal Repair | Exact
SZ_Search_BayArea_ExactPhrase_2026,Door Seal Repair,sub zero refrigerator door gasket repair,Phrase,36.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Door Seal Repair | Phrase
SZ_Search_BayArea_ExactPhrase_2026,Temperature Issues,sub zero refrigerator warm freezer cold,Exact,37.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Temperature Issues | Exact
