Campaign,Ad Group,Keyword,Criterion Type,Max CPC,Final URL,Campaign Status,Ad Group Status,Status,Comment
SZ_Search_BayArea_Full_PRO,Ice Not Making,ice machine not making ice sub zero,Exact,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Ice Not Making | Exact
SZ_Search_BayArea_Full_PRO,Ice Not Making,ice machine not making ice sub zero,Phrase,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Ice Not Making | Phrase
SZ_Search_BayArea_Full_PRO,Refrigerator Repair Core,ice maker broken sub zero refrigerator,Exact,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Refrigerator Repair Core | Exact
SZ_Search_BayArea_Full_PRO,Refrigerator Repair Core,ice maker broken sub zero refrigerator,Phrase,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Refrigerator Repair Core | Phrase
SZ_Search_BayArea_Full_PRO,Refrigerator Not Working,ice maker in sub zero fridge not working,Exact,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Refrigerator Not Working | Exact
SZ_Search_BayArea_Full_PRO,Refrigerator Not Working,ice maker in sub zero fridge not working,Phrase,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Refrigerator Not Working | Phrase
SZ_Search_BayArea_Full_PRO,Refrigerator Not Working,ice maker in sub zero refrigerator not working,Exact,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Refrigerator Not Working | Exact
SZ_Search_BayArea_Full_PRO,Refrigerator Not Working,ice maker in sub zero refrigerator not working,Phrase,35.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Refrigerator Not Working | Phrase
SZ_Search_BayArea_Full_PRO,Ice Not Making,ice maker not making ice sub zero,Exact,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Ice Not Making | Exact
SZ_Search_BayArea_Full_PRO,Ice Not Making,ice maker not making ice sub zero,Phrase,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Ice Not Making | Phrase
SZ_Search_BayArea_Full_PRO,Ice Maker Not Working,ice maker not working in sub zero refrigerator,Exact,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Ice Maker Not Working | Exact
SZ_Search_BayArea_Full_PRO,Ice Maker Not Working,ice maker not working in sub zero refrigerator,Phrase,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Ice Maker Not Working | Phrase
SZ_Search_BayArea_Full_PRO,Ice Maker Not Working,ice maker not working on sub zero french door refrigerator,Exact,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Ice Maker Not Working | Exact
SZ_Search_BayArea_Full_PRO,Ice Maker Not Working,ice maker not working on sub zero french door refrigerator,Phrase,39.00,https://appliancepros.netlify.app/subzero/,Enabled,Enabled,Enabled,Ice Maker Not Working | Phrase
